,index,id,brandname,brandfurigana,makername,makerfurigana,url,checked,kind,lost,directlink,median,http_response_code,twitter,twitter_data_widget_id,notes,erogetrailers,cien
0,2063,1,âge(age),アージュ,アージュ,アージュ,https://age-soft.com/main/,,CORPORATION,f,t,81.0,200.0,age_soft,336813247061688320,,1.0,
1,2064,2,artifact,アーティファクト,artifact,アーティファクト,http://www.sp-janis.com/,,CORPORATION,t,t,50.0,,,,,,
2,2065,3,Aaru,アアル,株式会社アアル,アアル,,,CORPORATION,t,f,60.0,,,,,388.0,
3,2066,4,あーるクラブ,アールクラブ,,,,,CORPORATION,t,t,60.0,,,,,,
4,2067,5,EYE,アイ,有限会社ティー・エイチ,ティーエイチ,,,CORPORATION,t,t,67.0,,,,,389.0,
5,2068,6,ISF,アイエスエフ,有限会社スタジオオックス,スタジオオックス,,,CORPORATION,t,t,74.0,,,,,,
6,2860,8,I’s9,アイスナイン,アイスナイン,アイスナイン,,,CORPORATION,t,t,,,,,,,
7,2861,9,ivory,アイボリー,有限会社　アイボリー,アイボリー,http://web.archive.org/web/20130208192839/http://www.ivory.co.jp/,,CORPORATION,t,f,78.0,,,,,395.0,
8,2862,10,ainos,アイノス,Jam CREATION,ジヤムクリエイション,,,CORPORATION,t,f,60.0,200.0,,,,394.0,
9,2863,11,iris,アイリス,,,,,CORPORATION,t,t,50.0,,,,,,
10,2864,12,あいりゅ,アイリュ,アイル,アイル,http://www.ail-soft.com/airyu/,,CORPORATION,f,t,55.0,200.0,,,,,
11,2313,13,アイル,アイル,アイル,アイル,http://www.ail-soft.com/,,CORPORATION,f,f,70.0,200.0,,,本ホームページに使用している画像は、アイルより許諾を受けて掲載しています。これらの素材を他へ転載することを禁じます。,52.0,
12,2314,14,OUTLAW,アウトロー,,,,,CORPORATION,t,t,40.0,,,,,,
13,2315,15,赤ちゃん倶楽部,アカチャンクラブ,,,https://www.studiomilk.com/akachanclub/,,CORPORATION,f,f,70.0,200.0,,,,400.0,
14,2316,16,acute,アキュート,,,,,CORPORATION,t,t,66.0,200.0,,,,,
15,2317,17,AQUA HOUSE,アクアハウス,,,,,CORPORATION,t,f,45.0,,,,,1830.0,
16,2318,18,chiffon,シフォン,,,,,CORPORATION,t,f,41.0,,,,,707.0,
17,0,19,AQUARIUM,アクアリウム,有限会社アクアリウム,アクアリウム,https://web.archive.org/web/19991002203057/http://www.usiwakamaru.or.jp/~aquarium/topindex.htm,,CORPORATION,t,f,40.0,999.0,,,,1816.0,
18,2554,20,AQUARIUS,アクエリアス,ドールハウス,ドールハウス,,,CORPORATION,t,t,20.0,404.0,,,,,
19,2555,21,Active,アクティブ,株式会社アクティブ,アクティブ,https://web.archive.org/web/20090926022329/http://www.active-soft.jp/main.html,,CORPORATION,t,f,70.0,999.0,,,,408.0,
20,2556,22,ACTRESS,アクトレス,有限会社マシス,マシス,https://www.actress.ne.jp/,,CORPORATION,f,f,63.0,999.0,,,,138.0,
21,2557,23,AGUMIX,アグミックス,有限会社　辻事務所,ツジジムショ,,,CORPORATION,t,t,60.0,,,,,,
22,2558,24,otherwise,アザーワイズ,,,http://13cm.jp/13cm_wp/?page_id=135,,CORPORATION,t,f,80.0,999.0,,,,411.0,
23,2865,26,APPLE PIE,アップルパイ,株式会社アップルパイ,アップルパイ,,,CORPORATION,t,f,59.0,200.0,,,,1490.0,
24,1,27,Abel,アーベル,株式会社アーベル,アーベル,http://www.abelsoftware-jp.com/main.html,,CORPORATION,f,f,75.0,200.0,,,,1474.0,
25,2,28,アボガドパワーズ,アボガドパワーズ,有限会社スケアクロウ,スケアクロウ,,,CORPORATION,t,t,75.0,200.0,info_abopa,508143425409929216,,436.0,
26,3,29,ARIEROOF,アリエルーフ,,,,,CORPORATION,t,f,13.0,,,,,,
27,4,30,ALICESOFT,アリスソフト,,,http://www.alicesoft.com/,,CORPORATION,f,f,79.0,200.0,alice_soft,324103853966491648,,14.0,
28,2866,31,アルシーヴ,アルシーヴ,,,,,CORPORATION,t,t,50.0,,,,,2663.0,
29,2867,32,ALTACIA,アルタシア,ALTACIA,アルタシア,,,CORPORATION,t,f,58.0,,,,,,
