,Unnamed: 0,index,id,gamename,furigana,sellday,brandname,median,stdev,creater,kansouurl,checked,hanbaisuu,average2,median2,count2,comike,shoukai,model,checked2,erogame,galge,elfics,banner_url,admin_checked,max2,min2,gyutto_enc,gyutto_id,dmm,dmm_genre,dmm_genre_2,erogametokuten,total_play_time_median,time_before_understanding_fun_median,dlsite_id,dlsite_domain,the_number_of_uid_which_input_pov,the_number_of_uid_which_input_play,total_pov_enrollment_of_a,total_pov_enrollment_of_b,total_pov_enrollment_of_c,trial_url,trial_h,http_response_code,okazu,axis_of_soft_or_hard,trial_url_update_time,genre,twitter,erogetrailers,tourokubi,digiket,dmm_sample_image_count,dlsite_sample_image_count,gyutto_sample_image_count,digiket_sample_image_count,twitter_search,tgfrontier,gamemeter,twitter_data_widget_id,twitter_data_widget_id_before,twitter_data_widget_id_official,masterup,masterup_tourokubi,steam,dlsite_rental,dmm_subsc,surugaya_1,surugaya_2,surugaya_1_back_image,surugaya_2_back_image,count_all,playrack,vndb,moepedia,笑,つじつまがあっている,感動,鬱,熱血,幼馴染,ツインテール,純愛,無表情
0,0,279,41,戦巫女 －Vestal virgin－,イクサミコ,1997-10-30,30,60,16.0,,,t,,56,,93,,,PC,,f,,,,,90,10,,,,,,,28.0,1.0,,,9.0,96.0,42.0,21.0,8.0,,,404.0,,,0001-01-01 00:00:00,,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,145000523,145004598,f,f,128,5167,v3083,0,0,0,2,0,2,0,0,6,0
1,1,153,171,隠れ月,カクレヅキ,2000-03-24,351,72,12.0,,,t,,72,,14,1323.0,,PC,,f,GS00004141,,,,95,55,,,,,,,,,,,3.0,10.0,12.0,2.0,0.0,,f,200.0,f,,0001-01-01 00:00:00,,,8430,,,-1,-1,-1,-1,,0,,,,,,,,f,,145004050,0,f,f,22,1020,v3264,0,0,0,0,0,0,0,0,0,0
2,2,1150,188,Kanon 全年齢対象版,カノンゼンネンレイタイショウバン,2000-01-07,83,83,16.0,,,t,,80,,194,12064.0,https://key.visualarts.gr.jp/product/kanon/,PC,,f,,,,,100,0,,,,,,,20.0,1.0,,,47.0,236.0,230.0,70.0,66.0,,,302.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,145003102,145021892,f,f,272,10414,v33,0,6,5,62,0,0,12,0,17,13
3,3,31,315,THE LOST ONE Last chapter of EVE,ザロストワンラストチャプターオブイブ,1998-10-09,124,60,20.0,,,t,,57,,53,147.0,,PC,,f,GS00005321,,,,100,4,,3342.0,,,,,18.0,,VJ001812,pro,8.0,51.0,10.0,4.0,8.0,,,,,,0001-01-01 00:00:00,,,0,,ITM0009668,-1,9,8,2,,0,,,,,,,,f,,145001569,145900352,f,f,68,19166,v2708,0,0,0,0,0,0,0,0,0,0
4,4,202,881,ロマンスは剣の輝きII,ロマンスハツルギノカガヤキツー,1999-12-22,385,64,16.0,,,t,,62,,121,193.0,https://fandc.co.jp/catalog/pc/33,PC,,f,,,,,91,10,,,,,,,,,,,16.0,121.0,61.0,31.0,15.0,,f,200.0,,,0001-01-01 00:00:00,RPG,,5285,,,-1,-1,-1,-1,,0,,,,,,,,f,,145002407,145002408,f,f,160,22896,v7467,0,0,0,0,0,0,0,0,0,0
5,5,246,1099,ましろの宝箱,マシロノタカラバコ,2000-04-21,314,50,20.0,,,t,,52,,15,1427.0,,PC,,f,,,,,86,15,,,,,,,1.0,,,,4.0,17.0,4.0,0.0,1.0,,,,,,0001-01-01 00:00:00,etc.,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,145003470,145006514,f,f,24,19658,v14149,0,0,0,0,0,0,0,0,0,0
6,6,717,1106,Sequence Palladium,シークエンスパラディウム,1998-02-13,442,70,11.0,,,t,,69,,18,,https://www.kogado.com/sw/contents/usagi/sp/sp_top.htm,PC,,f,,,,,90,45,,41236.0,,,,,,,VJ006687,soft,0.0,19.0,,,,,,200.0,,,0001-01-01 00:00:00,シナリオシミュレーション,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,145000787,145014302,f,f,23,22595,,0,0,0,0,0,0,0,0,0,0
7,7,320,1262,新世紀エヴァンゲリオン エヴァと愉快な仲間たち,シンセイキエヴァンゲリオンエヴァトユカイナナカマタチ,1998-07-23,447,40,17.0,,,t,,40,,26,,,PS,,f,,,,,65,0,,,,,,,,,,,0.0,28.0,,,,,,,,,0001-01-01 00:00:00,ボード,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,140001398,0,f,f,29,0,,0,0,0,0,0,0,0,0,0,0
8,8,1121,1474,王子さまLv1,オウジサマレベルイチ,2001-06-22,351,70,11.0,,,t,,69,,29,6601.0,,PC,,f,GS00004142,,,,84,40,,,,,,,,,,,8.0,26.0,16.0,7.0,2.0,,,200.0,,,0001-01-01 00:00:00,,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,145005072,145005073,f,f,46,18764,v3265,0,0,0,0,0,0,0,0,0,0
9,9,3064,1570,もっとLoveちゅ! ～恋愛CHU!FanDisk～,モットラブチュ,2001-08-31,114,65,14.0,,,t,,66,,40,7681.0,http://sagaplanets.product.co.jp/works/lovechu/fandisc.htm,PC,,f,GS00000191,,,,95,30,,,,,,,2.0,,,,2.0,43.0,2.0,2.0,0.0,,,200.0,,,0001-01-01 00:00:00,ヴィジュアルショートノベル,,3200,,,-1,-1,-1,-1,,0,,,,,,,,f,,145004987,0,f,f,64,4618,v5800,0,0,0,2,0,0,0,0,0,0
