,index,id,uid,pov,game,rank,memo,tourokubi,sage,modified,id.1,gamename,furigana,sellday,brandname,median,stdev,creater,kansouurl,checked,hanbaisuu,average2,median2,count2,comike,shoukai,model,checked2,erogame,galge,elfics,banner_url,admin_checked,max2,min2,gyutto_enc,gyutto_id,dmm,dmm_genre,dmm_genre_2,erogametokuten,total_play_time_median,time_before_understanding_fun_median,dlsite_id,dlsite_domain,the_number_of_uid_which_input_pov,the_number_of_uid_which_input_play,total_pov_enrollment_of_a,total_pov_enrollment_of_b,total_pov_enrollment_of_c,trial_url,trial_h,http_response_code,okazu,axis_of_soft_or_hard,trial_url_update_time,genre,twitter,erogetrailers,tourokubi.1,digiket,dmm_sample_image_count,dlsite_sample_image_count,gyutto_sample_image_count,digiket_sample_image_count,twitter_search,tgfrontier,gamemeter,twitter_data_widget_id,twitter_data_widget_id_before,twitter_data_widget_id_official,masterup,masterup_tourokubi,steam,dlsite_rental,dmm_subsc,surugaya_1,surugaya_2,surugaya_1_back_image,surugaya_2_back_image,count_all,playrack,vndb,moepedia
0,632,92611,midoritonbo,89,4136,A,祟り殺し編は燃えます。,2004-11-03 12:53:04.506567+09,f,2012-11-23 21:19:36.68073,4136,ひぐらしのなく頃に,ヒグラシノナクコロニ,2004-08-13,1228,85,13.0,,,t,,84,,1093,501865.0,https://07th-expansion.net/hig_gensaku,PC,,f,,,,,100,0,,,,,,,30.0,3.0,,,266,1223,2193,313,138,,f,200.0,,,2013-02-16 14:25:05.125995,サスペンスアドベンチャーノベル,,0,,,-1,-1,-1,-1,,0,,,,,,,709.0,f,,186006537,186042604,f,f,1346,21091,v67,0
1,635,109142,ringo,89,3374,A,燃えます。,2005-02-02 11:11:03.291764+09,f,2012-11-23 21:19:36.68073,3374,シンフォニック=レイン,シンフォニックレイン,2004-03-26,442,89,11.0,,,t,,87,,588,44021.0,https://www.kogado.com/sw/contents/kuroneko/sr/,PC,,f,,,,,100,20,,,,,,,25.0,5.0,VJ011519,soft,173,634,1286,279,86,,,200.0,,,0001-01-01 00:00:00,ミュージックアドベンチャー,,2983,,,-1,12,-1,-1,,0,,,,,,,629650.0,f,,145010497,145010897,f,f,755,16225,v38,0
2,798,118041,PESS,89,5124,A,種明かしがすごい,2005-03-27 14:36:46.810124+09,f,2012-11-23 21:19:36.68073,5124,Ever17 -the out of infinity- Premium Edition,エバーセブンティーン,2003-05-16,619,90,12.0,,,t,,87,,1492,573225.0,,PC,f,f,,,,,100,0,,,,,,,30.0,10.0,,,411,1615,3510,597,176,,f,200.0,,,2016-04-10 22:36:10.155091,恋愛アドベンチャー,,8657,,,-1,-1,-1,-1,,0,,,,,,,,f,,145009552,145017869,f,f,1822,24812,v17,0
3,619,122669,七緒,89,5802,A,,2005-04-17 09:35:09.752677+09,f,2012-11-23 21:19:36.68073,5802,機神咆吼デモンベイン,キシンホウコウデモンベイン,2004-07-01,215,82,12.0,,,t,,82,,160,,http://www.demonbane.com/game/g_060426_b.html,PS2,t,f,,,,,100,25,,,,,,,50.0,2.0,,,27,193,301,72,22,,,200.0,,,0001-01-01 00:00:00,荒唐無稽スーパーロボットADV,,8421,,,-1,-1,-1,-1,,0,,,,,,,,f,,144001795,144001796,f,f,217,0,v231,0
4,745,123296,gouyoku,89,5901,A,,2005-04-19 22:10:44.784909+09,f,2012-11-23 21:19:36.68073,5901,レッスルエンジェルス V1,レッスルエンジェルスブイワン,1995-08-25,837,73,8.0,,,t,,76,,4,,,PC,f,f,,,,,87,70,,,,,,,20.0,3.0,,,2,4,15,2,0,,,,,,0001-01-01 00:00:00,,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,125000253,155005442,f,f,4,1438,,0
5,744,123309,gouyoku,89,5902,A,,2005-04-19 22:13:00.964102+09,f,2012-11-23 21:19:36.68073,5902,レッスルエンジェルス V2,レッスルエンジェルスブイツー,1995-12-22,837,85,9.0,,,t,,84,,7,,,PC,f,f,,,,,95,70,,,,,,,,,,,1,8,3,3,1,,,,,,0001-01-01 00:00:00,,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,125000254,155005354,f,f,7,6096,,0
6,634,123322,gouyoku,89,5903,B,,2005-04-19 22:15:37.709297+09,f,2012-11-23 21:19:36.68073,5903,レッスルエンジェルス V3,レッスルエンジェルスブイスリー,1996-05-24,837,78,10.0,,,t,,79,,4,,,PC,f,f,,,,,90,70,,,,,,,,,,,2,5,8,5,1,,,,,,0001-01-01 00:00:00,,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,155005421,125001842,f,f,4,4048,,0
7,640,126975,seiunsky,89,5950,A,,2005-05-02 23:45:10.796077+09,f,2012-11-23 21:19:36.68073,5950,MELTY BLOOD Re・ACT,メルティブラッドリアクト,2004-05-30,971,80,9.0,,,t,,79,,184,,,PC,f,f,,,,,100,49,,,,,,,18.0,1.0,,,20,258,107,11,2,,,200.0,,,0001-01-01 00:00:00,2D格闘アクション,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,186004723,0,f,f,288,11319,,0
8,642,127079,Utusemi,89,3374,B,フリープレイはインターネットでランキングにもなっていて燃えます,2005-05-03 03:07:06.799665+09,f,2012-11-23 21:19:36.68073,3374,シンフォニック=レイン,シンフォニックレイン,2004-03-26,442,89,11.0,,,t,,87,,588,44021.0,https://www.kogado.com/sw/contents/kuroneko/sr/,PC,,f,,,,,100,20,,,,,,,25.0,5.0,VJ011519,soft,173,634,1286,279,86,,,200.0,,,0001-01-01 00:00:00,ミュージックアドベンチャー,,2983,,,-1,12,-1,-1,,0,,,,,,,629650.0,f,,145010497,145010897,f,f,755,16225,v38,0
9,656,135637,sirokuro,89,5311,A,主人公の行動は燃えに値すると思う,2005-06-02 22:02:38.456591+09,f,2012-11-23 21:19:36.68073,5311,Ever17 -the out of infinity- Premium Edition,エバーセブンティーンプレミアムエディション,2003-11-27,619,90,12.0,,,t,,89,,32,,,DC,t,f,,,,,100,50,,,,,,,,,,,4,39,41,6,4,,,200.0,,,0001-01-01 00:00:00,恋愛アドベンチャー,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,142000632,142000670,f,f,42,0,,0
10,641,135977,geo2,89,5831,A,,2005-06-03 11:33:07.346357+09,f,2012-11-23 21:19:36.68073,5831,MELTY BLOOD メルティブラッド,メルティブラッド,2002-12-28,971,79,12.0,,,t,,76,,223,,http://www.typemoon.org/melt/,PC,t,f,,,,,100,0,,,,,,,250.0,1.0,,,21,298,156,16,9,,,200.0,,,0001-01-01 00:00:00,2D格闘アクション,,9979,,,-1,-1,-1,-1,,0,,,,,,,,f,,186035075,186002572,f,f,341,1429,,0
11,638,138272,geo2,89,5950,A,,2005-06-12 13:14:47.281334+09,f,2012-11-23 21:19:36.68073,5950,MELTY BLOOD Re・ACT,メルティブラッドリアクト,2004-05-30,971,80,9.0,,,t,,79,,184,,,PC,f,f,,,,,100,49,,,,,,,18.0,1.0,,,20,258,107,11,2,,,200.0,,,0001-01-01 00:00:00,2D格闘アクション,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,186004723,0,f,f,288,11319,,0
12,645,144980,gennsiken,89,6240,A,,2005-07-06 22:06:56.073741+09,f,2012-11-23 21:19:36.68073,6240,舞-HiME 運命の系統樹,マイヒメウンメイノケイトウジュ,2005-06-30,1626,80,18.0,,,t,,75,,48,,http://circus-co.jp/product/maihime_top/info.html,PS2,f,f,,,,,95,22,,,,,,,25.0,,,,12,55,57,15,11,,,302.0,,,0001-01-01 00:00:00,恋愛&バトルAVG,,3119,,,-1,-1,-1,-1,,0,,,,,,,,f,,144002737,144003427,f,f,63,0,v65,0
13,647,145786,saphire,89,5358,B,,2005-07-11 16:07:11.73049+09,f,2012-11-23 21:19:36.68073,5358,久遠の絆,クオンノキズナ,1998-12-03,618,85,14.0,,,t,,83,,144,,https://www.fog.jp/main/products/kuon.html,PS,t,f,,,,,100,10,,,,,,,30.0,1.0,,,17,143,108,17,2,,,200.0,,,0001-01-01 00:00:00,アドベンチャー,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,140001651,0,f,f,180,0,v2773,0
14,648,145831,kaki,89,5378,B,戦闘全般に関してはとにかく燃える。B+というところです。,2005-07-11 23:23:56.571896+09,f,2012-11-23 21:19:36.68073,5378,高機動幻想ガンパレード・マーチ,コウキドウゲンソウガンパレードマーチ,2000-09-28,632,85,12.0,,,t,,85,,119,,http://www.alfasystem.net/game/gp/,PS,t,f,,,,,100,30,,,,,,,100.0,7.0,,,15,137,99,25,26,,,200.0,,,0001-01-01 00:00:00,アドベンチャー,,0,,,-1,-1,-1,-1,,0,,,,,,,,f,,140002810,0,f,f,175,0,,0
15,622,146467,七緒,89,6240,B,,2005-07-15 19:58:14.861752+09,f,2012-11-23 21:19:36.68073,6240,舞-HiME 運命の系統樹,マイヒメウンメイノケイトウジュ,2005-06-30,1626,80,18.0,,,t,,75,,48,,http://circus-co.jp/product/maihime_top/info.html,PS2,f,f,,,,,95,22,,,,,,,25.0,,,,12,55,57,15,11,,,302.0,,,0001-01-01 00:00:00,恋愛&バトルAVG,,3119,,,-1,-1,-1,-1,,0,,,,,,,,f,,144002737,144003427,f,f,63,0,v65,0
16,650,153102,BC9,89,6137,A,,2005-08-17 01:22:26.63854+09,f,2012-11-23 21:19:36.68073,6137,ひぐらしのなく頃に解 目明し～罪滅し編,ヒグラシノナクコロニカイメアカシツミホロボシヘン,2005-08-14,1228,84,11.0,,,t,,82,,377,507645.0,https://07th-expansion.net/hig_gensaku,PC,t,f,,,,,100,30,,,,,,,6.0,1.0,,,66,464,474,111,52,,,200.0,,,0001-01-01 00:00:00,サスペンスアドベンチャーノベル,,0,,,-1,-1,-1,-1,,0,,,,,,,577480.0,f,,186008080,186042604,f,f,532,11351,v68,0
17,623,154159,esfreak,89,6137,A,中盤から後半にかけてのサスペンス仕立てな展開に注目。,2005-08-20 06:01:10.503694+09,f,2012-11-23 21:19:36.68073,6137,ひぐらしのなく頃に解 目明し～罪滅し編,ヒグラシノナクコロニカイメアカシツミホロボシヘン,2005-08-14,1228,84,11.0,,,t,,82,,377,507645.0,https://07th-expansion.net/hig_gensaku,PC,t,f,,,,,100,30,,,,,,,6.0,1.0,,,66,464,474,111,52,,,200.0,,,0001-01-01 00:00:00,サスペンスアドベンチャーノベル,,0,,,-1,-1,-1,-1,,0,,,,,,,577480.0,f,,186008080,186042604,f,f,532,11351,v68,0
18,627,154736,七緒,89,6137,B,ラストは燃えるがクリア後に鎮火,2005-08-22 15:39:19.787463+09,f,2012-11-23 21:19:36.68073,6137,ひぐらしのなく頃に解 目明し～罪滅し編,ヒグラシノナクコロニカイメアカシツミホロボシヘン,2005-08-14,1228,84,11.0,,,t,,82,,377,507645.0,https://07th-expansion.net/hig_gensaku,PC,t,f,,,,,100,30,,,,,,,6.0,1.0,,,66,464,474,111,52,,,200.0,,,0001-01-01 00:00:00,サスペンスアドベンチャーノベル,,0,,,-1,-1,-1,-1,,0,,,,,,,577480.0,f,,186008080,186042604,f,f,532,11351,v68,0
19,636,156348,純,89,6137,A,ラスト付近で燃えます,2005-08-28 11:57:02.30015+09,f,2012-11-23 21:19:36.68073,6137,ひぐらしのなく頃に解 目明し～罪滅し編,ヒグラシノナクコロニカイメアカシツミホロボシヘン,2005-08-14,1228,84,11.0,,,t,,82,,377,507645.0,https://07th-expansion.net/hig_gensaku,PC,t,f,,,,,100,30,,,,,,,6.0,1.0,,,66,464,474,111,52,,,200.0,,,0001-01-01 00:00:00,サスペンスアドベンチャーノベル,,0,,,-1,-1,-1,-1,,0,,,,,,,577480.0,f,,186008080,186042604,f,f,532,11351,v68,0
20,621,157436,chrono,89,6137,A,,2005-09-01 13:14:38.61951+09,f,2012-11-23 21:19:36.68073,6137,ひぐらしのなく頃に解 目明し～罪滅し編,ヒグラシノナクコロニカイメアカシツミホロボシヘン,2005-08-14,1228,84,11.0,,,t,,82,,377,507645.0,https://07th-expansion.net/hig_gensaku,PC,t,f,,,,,100,30,,,,,,,6.0,1.0,,,66,464,474,111,52,,,200.0,,,0001-01-01 00:00:00,サスペンスアドベンチャーノベル,,0,,,-1,-1,-1,-1,,0,,,,,,,577480.0,f,,186008080,186042604,f,f,532,11351,v68,0
21,674,158796,gouyoku,89,6137,B,クライマックスはTYPE-MOONやNitroゲーを彷彿とさせる熱い燃え展開！(｀･ω･´)　が、同じくTYPE-MOONばりの冗長な文で読んでる内に萎える事に(´･ω･`)　そもそもひぐらしの世界観（部活時は除く）に燃えを持って来たのが失敗だったような・・・,2005-09-08 23:15:14.286477+09,f,2012-11-23 21:19:36.68073,6137,ひぐらしのなく頃に解 目明し～罪滅し編,ヒグラシノナクコロニカイメアカシツミホロボシヘン,2005-08-14,1228,84,11.0,,,t,,82,,377,507645.0,https://07th-expansion.net/hig_gensaku,PC,t,f,,,,,100,30,,,,,,,6.0,1.0,,,66,464,474,111,52,,,200.0,,,0001-01-01 00:00:00,サスペンスアドベンチャーノベル,,0,,,-1,-1,-1,-1,,0,,,,,,,577480.0,f,,186008080,186042604,f,f,532,11351,v68,0
