,index,id,title,comment,uid,timestamp,tourokubi,furigana,editingday,registration,system_title,system_group,netabare,number_of_user,before,before_trial
0,0,1,おかずに使える,エロい、ひたすらエロい。これをおかずに使わずしてなんとする、というゲームを集めてみました。,ap2,2003-12-26 16:58:01.041239+09,2002-06-01 22:23:39.588838+09,オカズニツカエル,1900-01-01 00:00:00+09,t,おかず,傾向,f,6079,f,f
1,1,2,後味悪すぎ,エンディングを迎えても気持ちよく終われず逆に 胸が悪くなった、納得がいかなかった、何かしこりが残ったと言ったプレイ後の後味が悪かった作品を登録してください。でも人を選ぶけどこういうのも悪くないよね。,ap2,2003-12-26 01:21:59.544368+09,2002-06-01 22:23:39.588838+09,アトアジワルスギ,2004-02-22 20:22:44.572492+09,t,後味が悪い,傾向,f,2849,f,f
2,2,3,ゲーム性のある飽きないゲーム,エロゲーなんだけど、時間を忘れて出来るほどゲームが面白い。長い時間プレイしていても飽きのこない、繰り返しプレイに耐えられるやつ。,ap2,2003-12-26 04:00:23.735613+09,2002-06-01 22:23:39.588838+09,ゲームセイノアルアキナイゲーム,1900-01-01 00:00:00+09,t,飽きない,ゲーム性,f,4999,f,f
3,3,4,ひたすら長い。長すぎるよ、このゲーム。,やりはじめたはいいが、なかなか終わらない。っていうか、いつ終わるのだこのゲームは。時間のない社会人には、ちと厳しいんじゃないの？って思うゲーム。 できればコメントにオールクリアあるいはフルコンプまでのプレイ時間など具体的に要した時間を含めていただけたら参考になるのでありがたいです。,ap2,2003-12-24 12:19:08.575325+09,2002-06-01 22:23:39.588838+09,ヒタスラナカセイナカセスキセルヨコノゲーム,1900-01-01 00:00:00+09,t,長い,時間,f,5422,f,f
4,4,6,BGMに惚れ惚れ(*'-'),このゲームのBGMはとにかくイイ！というもの。基本的にボーカル曲は除きます。 ボーカル曲の評価は「歌がいいゲーム」のほうで(*'-')ノ,REAK,2003-12-25 21:57:53.432032+09,2002-03-23 20:34:26+09,ビージーエムニホレボレ,1900-01-01 00:00:00+09,t,BGMがいい,音,f,8736,f,f
5,5,7,インテリなエロゲー,哲学、心理学、民俗学、科学など、知性と教養のあふれたエロゲーの登録をお願いします。 なお、豆知識、趣味に走った知識などについては POV「得する？雑学、うんちく、トリビア 」のほうにお願いします,hare,2003-12-24 12:19:08.082768+09,2002-03-23 21:54:54+09,インテリナエロゲー,2004-09-05 21:27:52.25157+09,t,インテリ,傾向,f,2007,t,f
6,6,9,ハードボイルド要素が高い（作品）,萌えゲーや泣きゲーだけが「美少女ゲーム」ではない！ 時にはクール＆ハードな登場人物が活躍するハードボイルドな作品も時には良いものでは。 シャープな切れ味を感じさせるそんなハードボイルド要素満載な作品を登録してみてください。,hirorin,2003-12-23 17:46:33.586191+09,2002-03-25 13:52:27+09,ハードボイルド,1900-01-01 00:00:00+09,t,ハードボイルド,ジャンル,f,1225,t,f
7,7,10,コメディ要素が強い笑えるゲーム,笑いはシナリオを構成する基本要素の一つ（かもしれない…） 冴えるギャグ、絶妙なボケとツッコミ、とにかく笑えるゲームの登録をお願いします。 さらに、コメディ要素によってシナリオが栄えるかコメントに書いてもらえれると良いと思います。 A:笑いが全編通して盛りだくさん B:量より質、随所にとまではいかないが笑える C:人を選ぶかもしれない、個人的に笑えたもの,hirorin,2003-12-26 00:47:32.316128+09,2002-03-25 14:05:01+09,コメディヨウソガツヨイワラエルゲーム,1900-01-01 00:00:00+09,t,笑,傾向,f,6260,t,f
8,8,12,とんでもなく短い。短すぎるよ、このゲーム。,やりはじめたはいいが、あっという間に終わってしまった。っていうか、なんてボリュームの小ささなんだこのゲームは。時間のない社会人でも、ちと納得できないんじゃないの？って思うゲーム。･･･すいませんパクリです(^^ゞ できればコメントにオールクリアあるいはフルコンプまでのプレイ時間など具体的に要した時間を含めていただけたら参考になるのでありがたいです。,REAK,2003-12-25 22:12:35.282387+09,2002-03-25 23:40:58+09,トンデモナクミジカイミジカスギルヨコノゲーム,1900-01-01 00:00:00+09,t,短い,時間,f,4244,f,f
9,9,13,主人公が素敵,男からみても惚れてしまいそうな、とにかくカッコいいと感じるやつを求む！！,hare,2003-12-26 04:00:23.784635+09,2002-03-26 18:01:39+09,シュジンコウガステキ,1900-01-01 00:00:00+09,t,素敵,主人公,f,9582,f,f
10,10,14,ファンタジー,ファンタジー作品を登録してください。 Ａ～Ｃはファンタジー要素の度合いで振り分けてください。,hare,2003-12-26 17:04:13.54128+09,2002-03-26 18:18:58+09,ファンタジー,1900-01-01 00:00:00+09,t,ファンタジー,ジャンル,f,4118,t,f
